NAME                                              	CHART VERSION	APP VERSION	DESCRIPTION                                       
prometheus-community/kube-prometheus-stack        	75.16.1      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.16.0      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.15.2      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.15.1      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.15.0      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.14.0      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.13.0      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.12.0      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.11.0      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.10.0      	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.9.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.8.1       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.8.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.7.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.6.2       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.6.1       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.6.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.5.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.4.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.3.6       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.3.5       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.3.4       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.3.3       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.3.2       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.3.1       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.3.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.2.1       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.2.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.1.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	75.0.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	74.2.2       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	74.2.1       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	74.2.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	74.1.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	74.0.0       	v0.83.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	73.2.3       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	73.2.2       	v0.82.2    	kube-prometheus-stack collects Kubernetes manif...
